ID	Label	Bipartito
461	Psephotus chrysopterygius	0
462	Psephotus dissimilis	0
463	Psittacula echo	0
464	Pyrrhura cruentata	0
465	Rhynchopsitta spp.	0
466	Rhynchopsitta pachyrhyncha	0
467	Python molurus	0
468	Python molurus molurus	0
469	Gallirallus sylvestris	0
470	Pterocnemia pennata	0
471	Ceratotherium simum	0
472	Ceratotherium simum cottoni	0
473	Ceratotherium simum simum	0
474	Diceros bicornis	0
475	Rhinoceros spp.	0
476	Rhinoceros unicornis	0
477	Rhinocerotidae spp.	0
478	Rhynochetos jubatus	0
479	Spheniscus humboldti	0
480	Sphenodon punctatus	0
481	Stangeria eriopus	0
482	Struthio camelus	0
483	Leucopsar rothschildi	0
484	Babyrousa babyrussa	0
485	Tapirus bairdii	0
486	Tapirus indicus	0
487	Catagonus wagneri	0
488	Astrochelys radiata	0
489	Chelonoidis niger	0
490	Testudinidae spp.	0
491	Testudo kleinmanni	0
492	Geronticus eremita	0
493	Trichechus inunguis	0
494	Trichechus manatus	0
495	Trichechus senegalensis	0
496	Pharomachrus mocinno	0
497	Villosa trabalis	0
498	Ailuropoda melanoleuca	0
499	Helarctos malayanus	0
500	Tremarctos ornatus	0
501	Ursus arctos	0
502	Ursus thibetanus	0
503	Varanus komodoensis	0
504	Ceratozamia spp.	0
505	Ceratozamia hildae	0
506	Ceratozamia kuesteriana	0
507	Ceratozamia norstogii	0
508	Ceratozamia robusta	0
509	Encephalartos spp.	0
510	Encephalartos aemulans	0
511	Encephalartos altensteinii	0
512	Encephalartos arenarius	0
513	Encephalartos bubalinus	0
514	Encephalartos caffer	0
515	Encephalartos cerinus	0
516	Encephalartos concinnus	0
517	Encephalartos cupidus	0
518	Encephalartos cycadifolius	0
519	Encephalartos dolomiticus	0
520	Encephalartos dyerianus	0
521	Encephalartos eugene-maraisii	0
522	Encephalartos ferox	0
523	Encephalartos friderici-guilielmi	0
524	Encephalartos ghellinckii	0
525	Encephalartos gratus	0
526	Encephalartos heenanii	0
527	Encephalartos hildebrandtii	0
528	Encephalartos horridus	0
529	Encephalartos humilis	0
530	Encephalartos hybrid	0
531	Encephalartos inopinus	0
532	Encephalartos kisambo	0
533	Encephalartos laevifolius	0
534	Encephalartos lanatus	0
535	Encephalartos latifrons	0
536	Encephalartos laurentianus	0
537	Encephalartos lebomboensis	0
538	Encephalartos lehmannii	0
539	Encephalartos longifolius	0
540	Encephalartos manikensis	0
541	Encephalartos middelburgensis	0
542	Encephalartos munchii	0
543	Encephalartos natalensis	0
544	Encephalartos ngoyanus	0
545	Encephalartos nubimontanus	0
546	Encephalartos paucidentatus	0
547	Encephalartos princeps	0
548	Encephalartos pterogonus	0
549	Encephalartos sclavoi	0
550	Encephalartos senticosus	0
551	Encephalartos tegulaneus	0
552	Encephalartos transvenosus	0
553	Encephalartos trispinosus	0
554	Encephalartos umbeluziensis	0
555	Encephalartos villosus	0
556	Berardius bairdii	0
557	Hyperoodon ampullatus	0
558	Cetacea spp.	0
559	Chelonia agassizii	0
560	Crocodylia spp.	0
561	Proboscidea spp.	0
562	Accipiter cooperii	0
563	Accipiter gentilis	0
564	Accipiter gularis	0
565	Accipiter madagascariensis	0
566	Accipiter melanoleucus	0
567	Accipiter nisus	0
568	Accipiter ovampensis	0
569	Accipiter poliocephalus	0
570	Accipiter striatus	0
571	Accipiter tachiro	0
572	Accipiter virgatus	0
573	Accipitridae spp.	0
574	Aegypius monachus	0
575	Aquila chrysaetos	0
576	Aquila clanga	0
577	Aquila nipalensis	0
578	Aquila pomarina	0
579	Aquila rapax	0
580	Asturina nitida	0
581	Buteo spp.	0
582	Buteo albicaudatus	0
583	Buteo buteo	0
584	Buteo jamaicensis	0
585	Buteo lagopus	0
586	Buteo magnirostris	0
587	Buteo platypterus	0
588	Buteo polyosoma	0
589	Buteo regalis	0
590	Buteo rufofuscus	0
591	Circaetus gallicus	0
592	Circus aeruginosus	0
593	Circus approximans	0
594	Circus cyaneus	0
595	Circus macrourus	0
596	Circus melanoleucos	0
597	Elanus caeruleus	0
598	Gypaetus barbatus	0
599	Gypohierax angolensis	0
600	Gyps africanus	0
601	Gyps bengalensis	0
602	Gyps coprotheres	0
603	Gyps fulvus	0
604	Gyps himalayensis	0
605	Gyps rueppellii	0
606	Haliaeetus spp.	0
607	Haliaeetus pelagicus	0
608	Haliaeetus vocifer	0
609	Haliaeetus vociferoides	0
610	Harpyopsis novaeguineae	0
611	Hieraaetus fasciatus	0
612	Leptodon cayanensis	0
613	Melierax canorus	0
