ID	Label
398	Alone in the Dark
399	Species
400	Metropolis
401	SLC Punk!
402	Spawn
403	Ocean's Twelve
404	Pokamon: Jirachi Wishmaker
405	Becky Sharp
406	Air Force One
407	Twelve O'Clock High
408	Hackers
409	Cabin Boy
410	Dumb & Dumber
411	Country
412	Bocaccio '70
413	Brigham City
414	Les liaisons dangereuses
415	Romance
416	The Adventures of Pinocchio
417	Battle Cry
418	Apollo 13
419	The Lord of the Rings: The Return of the King
420	Rambo: First Blood Part II
421	Chairman of the Board
422	Joan of Arc
423	Promised Land
424	L'Auberge espagnole
425	Monster's Ball
426	The French Connection
427	Saps at Sea
428	Austin Powers: Goldmember
429	Day of the Dead
430	Six Degrees of Separation
431	The Net
432	K-19: The Widowmaker
433	Mary Shelley's Frankenstein
434	Augustin, King of Kung-Fu
435	No Retreat, No Surrender
436	Trainspotting
437	Wall Street
438	The Face Behind the Mask
439	South Park: Bigger, Longer & Uncut
440	The Brave Little Toaster
441	Face to Face
442	Hannibal
443	Dr. Dolittle 2
444	The Killing Fields
445	Godzilla vs. the Sea Monster
446	Crossfire
447	Destination Moon
448	Radio Flyer
449	Romeo + Juliet
450	The Sea Hawk
451	Bananas
452	Johnny Mnemonic
453	Flesh & Blood
454	Arsenic and Old Lace
455	Stand by Me
456	Murphy's Romance
457	Poison Ivy
458	The Skulls
459	Vision Quest
460	Creep
461	BAADASSSSS!
462	Easy Rider
463	Out of the Blue
464	Lolita
465	The Transformers: The Movie
466	Ararat
467	The Lost World: Jurassic Park
468	The Dukes of Hazzard
469	Murder, Inc.
470	Boys Don't Cry
471	Kinsey
472	Wild at Heart
473	Who Am I?
474	Ghost Dog: The Way of the Samurai
475	Cinderella
476	How to Kill Your Neighbor's Dog
477	Orlando
478	Harry Potter and the Order of the Phoenix
479	Manhattan Project
480	Ben-Hur
481	Homerun
482	Bus Stop
483	A Cool, Dry Place
484	Fearless
485	Time After Time
486	The Fisher King
487	Roustabout
488	Batman Beyond: Return of the Joker
489	Bonjour tristesse
490	Fight Club
491	Inferno
492	Crimson Tide
493	Lifeboat
494	The Others
495	The Hindenburg
496	Delicatessen
497	The Price of Milk
498	I'll Cry Tomorrow
499	Vacation
500	Cousins
501	Delgo
502	Shall We Dance?
503	Green Card
504	Peter's Friends
505	Abe Lincoln in Illinois
506	What's Eating Gilbert Grape
507	Mr. & Mrs. Smith
508	Robin Hood: Men in Tights
509	Sirens
510	The Bourne Supremacy
511	The Gift
512	Bram Stoker's Dracula
513	Martha, Meet Frank, Daniel and Laurence
514	Thursday
515	The Clan of the Cave Bear
516	Stalker
517	Double Tap
518	Thirteen Days
519	Ulzana's Raid
520	P.S. Your Cat Is Dead
521	Piglet's Big Movie
522	Honey, I Blew Up the Kid
523	L'Appartement
524	Exodus
525	Tadpole
526	Kelly's Heroes
527	Fail-Safe
528	Imagining Argentina
529	Only When I Laugh
530	Dr. Phibes Rises Again
531	The Hostage
532	The Battle of the River Plate
533	Circus
534	The Big Chill
535	Dance with a Stranger
536	Round Midnight
537	Somewhere in Time
538	Breaker Morant
539	Pee-wee's Big Adventure
540	The Talented Mr. Ripley
541	Starting Over
542	Yours, Mine and Ours
543	Mujhse Dosti Karoge!
544	Cheech & Chong's Up in Smoke
545	Wizards
546	Pretty Baby
547	Amy Stiller's Breast
548	Ali
549	Deep Impact
550	The Manchurian Candidate
551	The Song of Bernadette
552	He's a Woman, She's a Man
553	Full Frontal
554	True Stories
555	Diva
556	Claudine
557	2046
558	And God Created Woman
559	The Caine Mutiny
560	Murphy's War
561	Goodbye, Mr. Chips
562	Monsignor
563	Popeye
564	Edward II
565	Amadeus
566	Black Sheep
567	Baby's Day Out
568	Man of the House
569	Dragonfly
570	Mary Poppins
571	Batman & Mr. Freeze: SubZero
572	Quatermass and the Pit
573	Everyman's Feast
574	Rent
575	Carmen: A Hip Hopera
576	Wilson
577	Holiday
578	Donald's Cousin Gus
579	Hitch
580	Will Success Spoil Rock Hunter?
581	The One
582	Fanny
583	Cannibal! The Musical
584	Mona Lisa
585	True Colors
586	Point Blank
587	Brainstorm
588	Screamers
589	Looney Tunes: Back in Action
590	Pay It Forward
591	The Green Mile
592	Downfall
593	Dead End
594	A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza
595	Serendipity
596	The Farmer's Daughter
597	Tom and Jerry: The Movie
598	Something's Gotta Give
599	Remo Williams: The Adventure Begins
600	Babe: Pig in the City
601	Lady and the Tramp II: Scamp's Adventure
602	Tombstone
603	It
604	Buffy the Vampire Slayer
605	Little Dorrit
606	Baywatch: Hawaiian Wedding
607	Moulin Rouge!
608	Lorenzo's Oil
609	The Misfits
610	Beethoven's 3rd
611	Holocaust
612	Sniper
613	Bad Girls
614	The League of Gentlemen
615	The Diary of Anne Frank
616	The Little Mermaid II: Return to the Sea
617	My Family
618	Heaven & Earth
619	Cuckoo
620	Star Wars Episode V: The Empire Strikes Back
621	Bat*21
622	The Delinquents
623	Jersey Girl
624	Cape Fear
625	The Chronicles of Riddick: Dark Fury
626	Aimee & Jaguar
627	Something Wild
628	Limelight
629	Casper
630	The Birds
631	Don't Tell Mom the Babysitter's Dead
632	Tennessee's Partner
633	The Muppets' Wizard of Oz
634	Batoru rowaiaru II: Chinkonka
635	Endless Love
636	Holy Smoke!
637	Possessed
638	Chameli
639	Sense and Sensibility
640	Flower & Garnet
641	Miracle Mile
642	Incubus
643	Scenes from a Marriage
644	Cursed
645	Fantasia
646	The Vanishing
647	The Village
648	Gunfight at the O.K. Corral
649	Groove
650	Minority Report
651	Kes
652	Come and Get It
653	Enigma
654	Old School
655	The Score
656	The Games
657	Superman
658	Young Adam
659	Madigan's Millions
660	All's Well, Ends Well
661	Lake Placid
662	Pokamon: Lucario and the Mystery of Mew
663	Beauty and the Beast: The Enchanted Christmas
664	Stripes
665	Jeans
666	Papillon
667	Moulin Rouge
668	The Stranger
669	Seventh Heaven
670	Wing Commander
671	The Crow: City of Angels
672	Hitler: The Last Ten Days
673	The Tales of Hoffmann
674	The Witness
675	Arthur
676	Oliver Twist
677	She's All That
678	Dogma
679	Kiki's Delivery Service
680	Hearts of Darkness: A Filmmakers's Apocalypse
681	10
682	Sleepy Hollow
683	National Lampoon's Christmas Vacation
684	Friday
685	White Fang
686	Fantastic Four
687	Homeward Bound: The Incredible Journey
688	Willow
689	Cheech & Chong's Next Movie
690	Sneakers
691	Rapunzel
692	About Last Night
693	Ship of Fools
694	How the West Was Won
695	Macbeth
696	One, Two, Three
697	Witness
698	The Fast and the Furious
699	Top Hat
700	Weekend at Bernie's
701	Striptease
702	Presumed Innocent
703	King: a Filmed Record...Montgomery To Memphis
704	I Know Where I'm Going!
705	East of Eden
706	The Cheat
707	Rob Roy
708	At the End of the Day: The Sue Rodriguez Story
709	1941
710	The Jungle Book
711	The Morning After
712	The Thing
713	Conspiracy
714	Spellbound
715	Candy
716	Ticker
717	Anne of Green Gables: The Continuing Story
718	What Dreams May Come
719	Picnic
720	Contempt
721	State Fair
722	Dirty Dancing
723	Casablanca
724	Grease
725	Sweet Home Alabama
726	Orange County
727	Once a Thief
728	Julia
729	Panic Room
730	The Final Cut
731	Dracula
732	Romeo and Juliet
733	Gandhi
734	Continental Divide
735	Berkeley Square
736	Glory
737	Bagdad
738	Quo Vadis
739	The Truth About Cats & Dogs
740	The Gospel of John
741	So Proudly We Hail!
742	Dr. Jekyll and Mr. Hyde
743	Over the Edge
744	Modern Times
745	Safety Last!
746	The Longest Day
747	The House of the Spirits
748	Gidget
749	Heavy Weights
750	Hidalgo
751	Starman
752	The Way of All Flesh
753	Godzilla
754	Junior
755	It's a Very Merry Muppet Christmas Movie
756	Night of the Living Dead
757	Amerika
758	The Thief of Bagdad
759	Diner
760	Ballistic: Ecks vs. Sever
761	Doug's 1st Movie
762	Von Ryan's Express
763	Sleepover
764	Speakeasy
765	Airport '77
766	Condemned
767	Someone Like You
768	Scrooge
769	The Brothers Karamazov
770	Coal Miner's Daughter
771	Asoka
772	Guess Who's Coming to Dinner
773	L'ige d'Or
774	Tape
775	Star Wars Episode III: Revenge of the Sith
776	The River
777	Dogfight
778	Dawn of the Dead
779	Behind Enemy Lines
780	Journey to the Center of the Earth
781	The Good Earth
782	Mangal Pandey: The Rising
783	East is East
784	Body and Soul
785	Saw
786	Thirteen
787	Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?
788	Alex & Emma
789	Vera Cruz
790	Blue Desert
791	The War at Home
792	Omagh
793	Viva Villa!
794	Pump Up the Volume
795	Babe
796	Angus
797	Team America: World Police
798	Under the Tuscan Sun
799	Spanglish
800	Beowulf
801	The Good Son
802	The Luck of the Irish
803	Restoration
804	Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)
805	Posse
806	Come Back, Little Sheba
807	Friday the 13th
808	X-Men
809	Peyton Place
810	Planet of the Apes
811	Stargate
812	Sunset Boulevard
813	Unfaithful
814	Scooby-Doo 2: Monsters Unleashed
815	Phone Booth
816	Sorcerer
817	The Poseidon Adventure
818	Camille Claudel
819	Intolerance
820	Hook
821	Atlantis: Milo's Return
822	Shanghai Express
823	Short Circuit
824	Oh! What a Lovely War
825	Happy Together
826	What's Opera, Doc?
827	Dangerous Curves
828	Knots Landing: Back to the Cul-de-Sac
829	House of Wax
830	Chicken Little
831	Tom Jones
832	Anchors Aweigh
833	Holiday Inn
834	Kronos
835	High Voltage
836	Harry Potter and the Half-Blood Prince
837	The Fox and the Hound
838	Topper
839	The Grifters
840	The Rainmaker
841	Thunderbirds
842	I Haven't Got a Hat
