Actor;Movies
Ann Miller;Room Service|That's Entertainment III|Mulholland Drive
Alicia Silverstone;Love's Labour's Lost|Scooby-Doo 2: Monsters Unleashed|Batman & Robin
Izabella Scorupco;Reign of Fire|Exorcist: The Beginning
Tomokazu Seki;Pokamon: Legend Comes to Life|Escaflowne
Alastair Galbraith;Intimacy|Small Faces
Roger L. Jackson;Scream|The Chronicles of Riddick: Dark Fury
Mike McShane;Robin Hood: Prince of Thieves|Vampire Hunter D: Bloodlust|A Bug's Life
Devon Sawa;Casper|SLC Punk!
Nichelle Nichols;Are We There Yet|Star Trek III: The Search for Spock|Star Trek: The Motion Picture|Star Trek IV: The Voyage Home|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Star Trek V: The Final Frontier
Elizabeth Banks;Seabiscuit|Swept Away
Eric Bana;Hulk|Troy|Chopper
Paul Gleason;Ewoks: The Battle for Endor|Morgan Stewart's Coming Home
Bam Margera;CKY|Jackass: The Movie
Russi Taylor;Mickey's Twice Upon a Christmas|Aladdin|Babe|DuckTales the Movie: Treasure of the Lost Lamp
Jeremy Slate;The Lawnmower Man|The Lawnmower Man
Barry Pepper;25th Hour|61*|3: The Dale Earnhardt Story|The Green Mile|Enemy of the State
Farley Granger;Hans Christian Andersen|Strangers on a Train|Rope
Tom Noonan;Manhunter|Heat
Michael Beach;Soul Food|Lean on Me
Gene Tierney;Laura|Heaven Can Wait
Gates McFadden;Star Trek: Insurrection|Star Trek: First Contact|Star Trek Nemesis|Star Trek: Generations
CCH Pounder;Tales from the Crypt presents: Demon Knight|Prizzi's Honor
Tommy Flanagan;Sin City|The Saint|AVP: Alien vs. Predator|Charlie's Angels: Full Throttle|Face/Off
Wallace Shawn;Chicken Little|Starting Over|The Princess Bride
Shelley Winters;Heavy|The Poseidon Adventure|Diamonds|The Night of the Hunter|Pete's Dragon|Winchester '73|Lolita|The Diary of Anne Frank|S.O.B.
Tony Curtis;Captain Newman, M.D.|The Last Tycoon|Spartacus
Mekhi Phifer;Carmen: A Hip Hopera|Soul Food|Honey|Shaft|Dawn of the Dead|O
Anna Massey;Peeping Tom|Impromptu
Jill Clayburgh;Silver Streak|Starting Over
Jackie Cooper;Superman|Superman IV: The Quest For Peace|Skippy
Jude Law;I heart Huckabees|Alfie|The Talented Mr. Ripley|Lemony Snicket's A Series of Unfortunate Events|A.I.|Bent|Closer|Cold Mountain|All the King's Men|Wilde
John Cho;Evolution|Harold & Kumar Go to White Castle
Telly Savalas;Mackenna's Gold|Kelly's Heroes
Johnny Yong Bosch;Akira|Mighty Morphin' Power Rangers: The Movie
Keenan Wynn;The Last Unicorn|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|Point Blank
Bela Lugosi;Dracula|Glen or Glenda?
Vanessa Lee Chester;The Lost World: Jurassic Park|She's All That
Giancarlo Giannini;Dune|Mimic|Once Upon a Crime...|Casino Royale|Man on Fire|Darkness|Hannibal|Fever Pitch
Steve Carell;Anchorman: The Legend of Ron Burgundy|Sleepover
Rose McGowan;Nowhere|Scream
Rick Ducommun;The 'Burbs|Groundhog Day|The 'Burbs
Kareena Kapoor;Asoka|Mujhse Dosti Karoge!|Khabi Khushi Kabhi Gham|Chameli
Jack Watson;Peeping Tom|Tobruk
Joan Lunden;What About Bob?|Free Willy 2: The Adventure Home|Conspiracy Theory
Mary-Louise Parker;The Portrait of a Lady|Saved!|Red Dragon
Susan George;Mandingo|Dirty Mary, Crazy Larry|Dirty Mary, Crazy Larry
Andrea Martin;Jimmy Neutron: Boy Genius|Boris and Natasha
Callum Keith Rennie;Blade: Trinity|Flower & Garnet
Jason Scott Lee;Dragon: The Bruce Lee Story|Lilo & Stitch|Soldier|The Jungle Book
Timothy Hutton;Kinsey|French Kiss|Deterrence
Hilary Swank;Boys Don't Cry|The Gift
Daryl Sabara;Spy Kids 2: Island Of Lost Dreams|John Carter of Mars
Michael Weston;The Dukes of Hazzard|Garden State
Sam Bottoms;Seabiscuit|Hearts of Darkness: A Filmmakers's Apocalypse
Cecil Parker;Swiss Family Robinson|The Pure Hell of St Trinian's
Nigel Terry;Caravaggio|Excalibur|Troy|Edward II
Diane Ladd;Chinatown|Alice Doesn't Live Here Anymore|Wild at Heart|National Lampoon's Christmas Vacation
Ian Hart;Monument Ave.|Enemy of the State|Michael Collins|Harry Potter and the Philosopher's Stone
Burt Lancaster;Gunfight at the O.K. Corral|The Devil's Disciple|The Professionals|Atlantic City|Sorry, Wrong Number|Vera Cruz|The Osterman Weekend|His Majesty O'Keefe|1900|Ulzana's Raid|Dead Men Don't Wear Plaid|Come Back, Little Sheba|Airport
Paul Walker;The Skulls|Timeline|She's All That|The Fast and the Furious
Jon Lovitz;Cats & Dogs|North|Â¡Three Amigos!|An American Tail: Fievel Goes West|The Brave Little Toaster|Matilda|The Stepford Wives|Happiness|Rat Race|Mr. Destiny
Brigitte Fossey;Enigma|Quintet
Stanley Beck;Lenny|Lenny
John Candy;Splash|Armed and Dangerous|Who's Harry Crumb?|Heavy Metal|Once Upon a Crime...|Stripes|JFK|1941
Leo G. Carroll;Strangers on a Train|Bulldog Drummond's Secret Police|Suspicion|Spellbound
Peter Sarsgaard;K-19: The Widowmaker|Kinsey|Boys Don't Cry|Garden State
Larry B. Scott;That Was Then... This Is Now|Revenge of the Nerds II: Nerds in Paradise
Ann Robinson;The War of the Worlds|The War of the Worlds
Mike White;The Stepford Wives|Orange County
Sarah Michelle Gellar;Scooby-Doo 2: Monsters Unleashed|Scooby-Doo
Giuseppe Andrews;Detroit Rock City|Cabin Fever
Hans Conried;Peter Pan|The 5,000 Fingers of Dr. T
Dan Monahan;Porky's|Only When I Laugh
Patrick Wymark;Witchfinder General|Battle of Britain
Frank Whaley;Pulp Fiction|Swing Kids|The Doors
Edward G. Robinson;Double Indemnity|Key Largo|The Ten Commandments
Leo Carrillo;Viva Villa!|Phantom of the Opera
Brian Thompson;Cobra|Mortal Kombat: Annihilation|Alien Nation|The Order|Mortal Kombat: Annihilation|The Order
James Coburn;Affliction|Sister Act 2: Back in the Habit|Maverick|Eraser|Midway|Candy
Gunnar Bjornstrand;Face to Face|Wild Strawberries
Lynne Thigpen;Shaft|Anger Management
John Saxon;Wes Craven's New Nightmare|Fever Pitch
Ryo Horikawa;Clash!! 10,000,000,000 Powerful Warriors|Rebirth of Fusion!! Goku and Vegeta!!|Burn Up!! A Close, Intense, Super-Fierce Battle
Jami Gertz;Twister|Endless Love|Crossroads
Michael Badalucco;O Brother, Where Art Thou?|The Man Who Wasn't There
Liza Minnelli;Arthur|That's Dancing!|New York, New York|Cabaret
Lionel Stander;New York, New York|Cul-de-Sac
Imogene Coca;Vacation|Nothing Lasts Forever
Erika Christensen;Traffic|Riding the Bullet
Peter Jason;Alien Nation|Alien Nation
Christian Berkel;The Serpent's Egg|Downfall
Douglas Smith;Santa's Slay|Santa's Slay
Val Kilmer;The Real McCoy|The Saint|Delgo|Spartan|Top Gun|Top Secret!|The Doors|Tombstone|Willow|Heat|Red Planet|Pollock|Alexander
Om Puri;East is East|Mangal Pandey: The Rising
Francis X. McCarthy;Dead Men Don't Wear Plaid|Alien Nation
Jenifer Lewis;The Temptations|The Preacher's Wife|Cars|The Brothers
Edward Herrmann;My Boyfriend's Back|The Emperor's Club|Nixon
Britney Spears;Crossroads|Longshot|Austin Powers: Goldmember
James Caviezel;The Final Cut|The Rock|Frequency|The Thin Red Line|The Count of Monte Cristo|Pay It Forward
Bruce McGill;Collateral|National Lampoon's Animal House|Legally Blonde 2: Red, White & Blonde|The Insider|Live from Baghdad
Til Schweiger;SLC Punk!|King Arthur|Lara Croft Tomb Raider: The Cradle of Life
Irene Jacob;History Is Made at Night|Three Colors: Red
Bernadette Peters;Anastasia|Beauty and the Beast: The Enchanted Christmas|Impromptu
Kyla Pratt;Dr. Dolittle 2|Fat Albert
Mary Kate Schellhardt;Free Willy 2: The Adventure Home|What's Eating Gilbert Grape
Bernard Bresslaw;Jabberwocky|Morgan: A Suitable Case for Treatment
Anthony Newley;Doctor Dolittle|Alice in Wonderland|Oliver Twist
Cody Linley;My Dog Skip|Where the Heart Is
Cher;Mermaids|Mask|Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean
Mike Gomez;El Norte|By Dawn's Early Light
Joyce Van Patten;St. Elmo's Fire|Bad News Bears
Bill Nunn;Mo' Better Blues|Spider-Man
Danny Nucci;Alive|Titanic|The Rock|Crimson Tide|Eraser
Peri Gilpin;How to Kill Your Neighbor's Dog|Final Fantasy: The Spirits Within
Benjamin Bratt;Pii±ero|Traffic|Catwoman|Demolition Man|Exiled: A Law & Order Movie|Red Planet
Dave Chappelle;Blue Streak|You've Got Mail|Robin Hood: Men in Tights
Jessica Tandy;Cocoon|Nobody's Fool|Cocoon: The Return|The Birds
Thomas Ian Griffith;XXX|Vampires
Ethan Phillips;The Island|Ragtime|Rugrats Go Wild!|Lean on Me
Craig Richards;The Flintstones|The Princess Diaries|Rat Race
Thomas Mitchell;Stagecoach|The Hurricane|Wilson
Jonathan Pryce;Ronin|Stigmata|Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: Dead Man's Chest|Barbarians at the Gate|What a Girl Wants|Brazil
Demi Moore;About Last Night|St. Elmo's Fire|Ghost|Striptease|The Hunchback of Notre Dame|Charlie's Angels: Full Throttle
Mario Van Peebles;BAADASSSSS!|Ali|The Cotton Club|Posse|Rappin'
John Ireland;Gunfight at the O.K. Corral|The Fast and the Furious|Queen Bee
Teresa Wright;The Rainmaker|Somewhere in Time
Zach Braff;Chicken Little|The Broken Hearts Club: A Romantic Comedy|Garden State
Jean Simmons;Hamlet|Final Fantasy: The Spirits Within|Spartacus
Jean Champion;Day for Night|Day for Night
Philip Bosco;My Best Friend's Wedding|Nobody's Fool|Shaft
Kyle MacLachlan;The Librarian|Dune|Twin Peaks: Fire Walk With Me|The Flintstones|The Doors|Hamlet
Joe Pesci;Casino|JFK|Home Alone 2: Lost in New York
Dennis Price;Private's Progress|Victim|I'm All Right Jack|Oh... Rosalinda!!
Lana Turner;Madame X|Peyton Place|Dead Men Don't Wear Plaid
John Leguizamo;Assault on Precinct 13|Ice Age|To Wong Foo, Thanks for Everything! Julie Newmar|Romeo + Juliet|Moulin Rouge!|Collateral Damage|Revenge|Dr. Dolittle 2|Spawn|Carlito's Way|Super Mario Bros.
Eleanor Columbus;Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets
Ally Sheedy;St. Elmo's Fire|Short Circuit|Home Alone 2: Lost in New York
Frederic Forrest;The Rose|Music Box|Tucker: The Man and His Dream
George Carlin;Car Wash|Bill & Ted's Bogus Journey|Bill & Ted's Excellent Adventure|Cars|Dogma|Jersey Girl
Terry Kilburn;A Christmas Carol|Goodbye, Mr. Chips
John Malkovich;Alive|The Hitchhiker's Guide to the Galaxy|Of Mice and Men|Eragon|The Killing Fields|The Portrait of a Lady|The Messenger: The Story of Joan of Arc|Making Mr. Right|Rounders
Peter O'Toole;Caligula|Troy|Goodbye, Mr. Chips|What's New Pussycat?|Ratatouille|Lawrence of Arabia|Murphy's War
Rhys Ifans;Human Nature|Notting Hill|The Replacements|Little Nicky|Vanity Fair|Elizabeth: The Golden Age
David Koechner;Anchorman: The Legend of Ron Burgundy|Out Cold|The Dukes of Hazzard|Austin Powers:The Spy Who Shagged Me
Simone Signoret;Les Diaboliques|Ship of Fools
J. T. Walsh;Sniper|Nixon
Dennis Quaid;Dreamscape|Savior|Traffic|Frequency|Caveman|The Alamo
Diane Venora;Romeo + Juliet|F/X|The Cotton Club|The Insider|Heat|Hamlet
Diane Keaton;Something's Gotta Give|Father of the Bride|Sleeper|Manhattan|Marvin's Room|The Godfather Part III
Gene Kelly;Xanadu|That's Entertainment!|Anchors Aweigh|That's Entertainment III
Richard Norton;China O'Brien|Mr. Nice Guy
Stephen Tobolowsky;Sneakers|Garfield|Groundhog Day|Hero
James Belushi;Thief|About Last Night|Once Upon a Crime...|Salvador|K-9|Mr. Destiny
Billy Bletcher;Porky's Duck Hunt|Pigs Is Pigs|I Haven't Got a Hat
Charles McGraw;Dead Men Don't Wear Plaid|The Birds|It's a Mad, Mad, Mad, Mad World|Spartacus
Kelly Macdonald;Elizabeth|Intermission|Trainspotting
Gabriel Byrne;P.S.|Miller's Crossing|Little Women|Gothic|Into the West|Ghost Ship|The Keep|Enemy of the State|Spider|Stigmata|Assault on Precinct 13|Vanity Fair|Excalibur|Point of No Return
Bruce Payne;The Keep|Dungeons & Dragons
Robert Hays;Airplane!|Cat's Eye
James Fleet;Sense and Sensibility|The Phantom of the Opera
Jamie Rene Smith;Dante's Peak|Dante's Peak
Peter Lawford;That's Entertainment!|Exodus|The Longest Day|Ocean's Eleven
Eric Johnson;Ginger Snaps 2: Unleashed|Ginger Snaps 2: Unleashed
Geoffrey Lewis;Maverick|National Lampoon's Last Resort|Heaven's Gate|The Lawnmower Man
William Fichtner;Strange Days|Armageddon|What's the Worst That Could Happen?|Contact|Go|Heat|Equilibrium|Pearl Harbor
Kenneth Mars;The Little Mermaid|The Producers|What's Up, Doc?
Julie Hagerty;Airplane!|What About Bob?
John Carroll Lynch;Volcano|Fargo
James Gammon;Cabin Boy|Major League|Cold Mountain
Ricky Jay;Magnolia|Heist
Dom DeLuise;An American Tail: Fievel Goes West|Oliver & Company|Fail-Safe|Robin Hood: Men in Tights
Crispin Glover;Willard|What's Eating Gilbert Grape|Wild at Heart|Charlie's Angels: Full Throttle|Charlie's Angels
Daphne Zuniga;Vision Quest|Gross Anatomy
Mark Hamill;Star Wars Episode IV: A New Hope|Star Wars Episode VI: Return of the Jedi|Batman Beyond: Return of the Joker|Star Wars Episode V: The Empire Strikes Back|Robotech: The Shadow Chronicles|Batman: Mask of the Phantasm
Anna May Wong;Piccadilly|The Thief of Bagdad|Shanghai Express
Glenne Headly;Dick Tracy|The X Files|Making Mr. Right|Dirty Rotten Scoundrels|Mr. Holland's Opus|Eulogy
Deborah Kerr;Bonjour tristesse|Heaven Knows, Mr. Allison|Quo Vadis|Edward, My Son
Lily Tomlin;I heart Huckabees|The Kid|Orange County|Nashville
Michael Rapaport;Hitch|Kiss of Death|Dr. Dolittle 2
Gladys Cooper;Love Letters|Now, Voyager
Christopher Kid Reid;The Temptations|House Party
John Glover;Gremlins 2: The New Batch|Batman & Robin
Tristine Skyler;Book of Shadows: Blair Witch 2|Book of Shadows: Blair Witch 2
Minor Watson;Boys Town|The Star
Elpidia Carrillo;Salvador|Predator|My Family
Debra Winger;E.T. the Extra-Terrestrial|Eulogy
Huntley Ritter;Voodoo Academy|Bring It On
Laurence Harvey;The Manchurian Candidate|Darling|The Alamo|Night Watch
Juliet Berto;Celine et Julie vont En Bateau|Celine et Julie vont En Bateau
Olivia Newton-John;Grease|Xanadu
Woody Harrelson;The Thin Red Line|Anger Management|The People vs. Larry Flynt
Rachael Lillis;Pokamon: Lucario and the Mystery of Mew|Pokamon: Jirachi Wishmaker|Pokamon: Legend Comes to Life|Pokamon: Destiny Deoxys
Robbie Coltrane;Henry V|Mona Lisa|Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Order of the Phoenix|Harry Potter and the Philosopher's Stone|Harry Potter and the Prisoner of Azkaban|Ocean's Twelve
John Wayne;The Green Berets|Stagecoach|The Searchers|Rio Grande|In Harm's Way|Rio Bravo|McLintock!|Donovan's Reef|Red River|El Dorado|The Alamo|How the West Was Won|The Longest Day
Virginia McKenna;Waterloo|The Cruel Sea
