Actor;Movies
Eric Stoltz;Pulp Fiction|Little Women|Pitch|Mask|Anaconda|Rob Roy|The Rules of Attraction
Jason Flemyng;Rob Roy|Rock Star|The Jungle Book
Ernest Borgnine;The Poseidon Adventure|Vera Cruz|Ice Station Zebra|Merlin's Shop of Mystical Wonders
Ice T;Johnny Mnemonic|Exiled: A Law & Order Movie
Samuel E. Wright;The Little Mermaid II: Return to the Sea|The Little Mermaid
Denzel Washington;Mo' Better Blues|The Preacher's Wife|Malcolm X|Philadelphia|Crimson Tide|The Manchurian Candidate|Man on Fire|Glory|Antwone Fisher|A Soldier's Story|Fallen|The Hurricane
Kevin Dunn;Chain Reaction|Chaplin|Dave|Nixon|Hot Shots!|Godzilla
Jennifer Love Hewitt;Delgo|Can't Hardly Wait|Sister Act 2: Back in the Habit|Garfield
Olivia de Havilland;The Adventures of Robin Hood|Dodge City|To Each His Own|Captain Blood|My Cousin Rachel
Henry Jones;Will Success Spoil Rock Hunter?|Vertigo
Gena Rowlands;Faces|Gloria
Emily Perkins;It|Ginger Snaps|Ginger Snaps 2: Unleashed
Barbara Stanwyck;Double Indemnity|Titanic|Sorry, Wrong Number|Roustabout|Dead Men Don't Wear Plaid
Tom Hollander;Martha, Meet Frank, Daniel and Laurence|Enigma|Possession|Pirates of the Caribbean: Dead Man's Chest|Elizabeth: The Golden Age
Wayne Knight;JFK|Hercules|Rat Race|Jurassic Park
Bree Turner;My Best Friend's Wedding|Austin Powers:The Spy Who Shagged Me
Richard Warwick;Romeo and Juliet|If...|Hamlet
Leon Robinson;The Temptations|Cliffhanger
Will Smith;Hitch|Ali|Enemy of the State|Men in Black|Jersey Girl|Independence Day|I, Robot|Six Degrees of Separation|Bad Boys
David Krumholtz;Serenity|How to Kill Your Neighbor's Dog
Charles Durning;O Brother, Where Art Thou?|Starting Over|Sisters
Harold Innocent;Robin Hood: Prince of Thieves|Buster
Marie-France Pisier;Celine et Julie vont En Bateau|Cousin, cousine
Kevin Costner;Dragonfly|For Love of the Game|Thirteen Days|Revenge|JFK|Robin Hood: Prince of Thieves|No Way Out
Takeshi Kitano;Getting Any?|Brother|Battle Royale|Johnny Mnemonic
Tom Waits;Bram Stoker's Dracula|The Cotton Club|The Fisher King|Domino
Vladek Sheybal;Kanao|Shogun
William Forsythe;The Rock|Cloak & Dagger|Freedomland|Dick Tracy
Jim MacDonald;Alice in Wonderland|Cinderella
Ron Perlman;Alien: Resurrection|Star Trek Nemesis|Looney Tunes: Back in Action|Fluke
Jane Fonda;They Shoot Horses, Don't They?|The Morning After|Julia
Tom Wilkinson;Rush Hour|Sense and Sensibility|The Patriot|Normal|Wilde
Elizabeth Perkins;Cats & Dogs|About Last Night|The Flintstones|Avalon|Speak
Matthew Lillard;Wing Commander|Hackers|She's All That|Scooby-Doo 2: Monsters Unleashed|Scooby-Doo|SLC Punk!|Wicker Park|It's a Very Merry Muppet Christmas Movie|Love's Labour's Lost|Scream
Oded Fehr;Resident Evil: Apocalypse|The Mummy
D. B. Sweeney;Dinosaur|Spawn|Blue Desert
John Fiedler;Piglet's Big Movie|The Emperor's New Groove|Pooh's Heffalump Movie
Jon Favreau;Made|Something's Gotta Give|Wimbledon|PCU|Swingers|The Replacements|Deep Impact|Rudy
Eve Arden;Pandemonium|Grease
Andre the Giant;Micki + Maude|The Princess Bride
Wes Studi;Street Fighter|The Last of the Mohicans|Heat
Danny Glover;Witness|Bat*21|The Rainmaker|Beloved|Saw
Yul Brynner;The Brothers Karamazov|Anastasia|The Ten Commandments
Matthew Modine;Vision Quest|Fluke|Birdy|Gross Anatomy
Edward James Olmos;In the Time of the Butterflies|My Family|Selena
Paul Sorvino;Romeo + Juliet|The Gambler|Mambo Italiano|Hey Arnold!: The Movie|Nixon|Cheaters|Longshot
Rosanna Arquette;After Hours|Buffalo '66
Jennifer Grey;The Cotton Club|Ferris Bueller's Day Off
Spencer Tracy;It's a Mad, Mad, Mad, Mad World|Adam's Rib|Guess Who's Coming to Dinner|The Power and the Glory|Fury|San Francisco|Northwest Passage|Boys Town|Test Pilot|Tortilla Flat|How the West Was Won|Edward, My Son|Father of the Bride
Matthew Macfadyen;Enigma|In My Father's Den
Peter Boyle;Walker|Scooby-Doo 2: Monsters Unleashed|Outland|F.I.S.T|Monster's Ball|Hardcore
Verna Felton;Alice in Wonderland|Cinderella|The Jungle Book
Alicia Witt;American Girl|Urban Legend|Dune|Mr. Holland's Opus|Bongwater|Cecil B. Demented
Norman Lloyd;Saboteur|Limelight
Claude Jade;Bed & Board|Topaz|The Witness
Allen Covert;Big Daddy|Anger Management
Charles Sellon;Bright Eyes|Bright Eyes
Nia Long;BAADASSSSS!|Friday|The Broken Hearts Club: A Romantic Comedy|Are We There Yet|Soul Food|Big Momma's House|Boiler Room|Alfie|Stigmata
Sian Phillips;Ewoks: The Battle for Endor|Goodbye, Mr. Chips|Murphy's War|Dune
Kirsten Dunst;The Crow: Salvation|Little Women|Spider-Man|Wimbledon|Dick|Get Over It|Bring It On|Anastasia|Levity|Kiki's Delivery Service
Buster Keaton;Limelight|It's a Mad, Mad, Mad, Mad World|The General|Film|Sherlock, Jr.|Steamboat Bill Jr.|Cops
Petula Clark;Goodbye, Mr. Chips|I Know Where I'm Going!
Joseph Schildkraut;The Diary of Anne Frank|Idiot's Delight|King of Kings
Chris Cooper;American Beauty|Adaptation|Seabiscuit|The Patriot|Me, Myself & Irene|Silver City|Lone Star|The Bourne Identity
Dick Shawn;It's a Mad, Mad, Mad, Mad World|The Producers
Jean Rogers;Flash Gordon|Flash Gordon's Trip to Mars
Noah Taylor;Shine|Charlie and the Chocolate Factory|Max|Flirting|Lara Croft: Tomb Raider|Lara Croft Tomb Raider: The Cradle of Life
Skeet Ulrich;The Craft|Weekend at Bernie's|Scream
Laura Fraser;Whatever Happened to Harold Smith?|Devil's Gate|A Knight's Tale|Titus|Small Faces|Cuckoo
Kevin McCarthy;Twilight Zone: The Movie|Looney Tunes: Back in Action|The Misfits|The Best Man|UHF
Derek Richardson;Dumb & Dumberer|Dumb & Dumberer
Jennifer Ehle;Possession|Wilde
Kajol;Khabi Khushi Kabhi Gham|Dilwale Dulhaniy Le Jayenge
Andy Devine;How the West Was Won|Stagecoach|Robin Hood
Bruce Willis;Pulp Fiction|Hostage|North|The Kid|Nobody's Fool|Hart's War|Look Who's Talking|Look Who's Talking Too|Rugrats Go Wild!|Sin City|Armageddon|Die Hard: With a Vengeance|Blind Date
Bruce Dern;1969|Marnie|The Haunting|The 'Burbs|The Trip|Monster|They Shoot Horses, Don't They?
Eric Mabius;The Crow: Salvation|Resident Evil
Tom Courtenay;Whatever Happened to Harold Smith?|King Rat|The Golden Compass
Rene Zellweger;Cold Mountain|Bridget Jones: The Edge of Reason|My Boyfriend's Back|Me, Myself & Irene|Chicago
Robert Englund;Urban Legend|Wes Craven's New Nightmare|Python|Wishmaster
Robert Preston;Wake Island|How the West Was Won|S.O.B.
Romane Bohringer;L'Appartement|Total Eclipse
Courteney Cox;Ace Ventura: Pet Detective|Cocoon: The Return|Scream|Mr. Destiny|Blue Desert
Anthony Edwards;Top Gun|Thunderbirds|Revenge of the Nerds II: Nerds in Paradise|Miracle Mile
Nicholas Bell;Mighty Morphin' Power Rangers: The Movie|Mission: Impossible II|Mighty Morphin' Power Rangers: The Movie
Milla Jovovich;Chaplin|The Messenger: The Story of Joan of Arc|Resident Evil: Apocalypse|Resident Evil|Dazed and Confused
Frank Miller;Sin City|Daredevil
Tom Everett;The Island|Air Force One
Bill Pullman;Lake Placid|History Is Made at Night|Independence Day|Rick|Singles|Liebestraum|Casper
Anne Hathaway;The Princess Diaries|The Princess Diaries 2: Royal Engagement
Bob Gunton;Patch Adams|Ace Ventura: When Nature Calls|Demolition Man|61*
Lisa Kudrow;Dr. Dolittle 2|Romy and Michele's High School Reunion
Chris Rankin;Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Prisoner of Azkaban
Christian Marquand;And God Created Woman|Candy
Pink;Charlie's Angels: Full Throttle|Rollerball
Arnold Schwarzenegger;Predator|Eraser|Collateral Damage|Raw Deal|Terminator 2: Judgment Day|Junior|Dr. Dolittle 2|Twins|Terminator 3: Rise of the Machines|Commando|Batman & Robin
Dana Andrews;Laura|My Foolish Heart|In Harm's Way
Sousuke Takaoka;Blue|Concrete
Margaret Leighton;The Best Man|Carrington V.C.
Anita Gillette;Shall We Dance?|The Guru
Jean-Pierre Leaud;Bed & Board|Day for Night
Robert Shaw;Diamonds|Battle of the Bulge|The Taking of Pelham One Two Three|Battle of Britain|Jaws
Raymond O'Connor;Mr. Nanny|My Blue Heaven
Kate Lynch;Meatballs|Meatballs
Orlando Bloom;Kingdom of Heaven|Pirates of the Caribbean: The Curse of the Black Pearl|Troy|Ned Kelly|The Lord of the Rings: The Two Towers|Pirates of the Caribbean: Dead Man's Chest|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|Wilde
Marlene Dietrich;Stage Fright|Shanghai Express|Morocco
John Howard;The Club|Bulldog Drummond's Secret Police|Lost Horizon
Jean-Claude Van Damme;No Retreat, No Surrender|Street Fighter|The Order|Bloodsport
Tygh Runyan;K-19: The Widowmaker|Antitrust
Steve Zahn;That Thing You Do!|Crimson Tide|Dr. Dolittle 2|Sahara|Chicken Little|You've Got Mail|Hamlet|Speak
Jose Ferrer;Moulin Rouge|Dune|Joan of Arc|The Caine Mutiny|Ship of Fools|Lawrence of Arabia
Tommy 'Tiny' Lister;Friday|Santa's Slay|Jackie Brown|Austin Powers: Goldmember|Little Nicky|Posse|Circus
Bryan Brown;F/X|Breaker Morant|Cocktail
Quentin Crisp;To Wong Foo, Thanks for Everything! Julie Newmar|Orlando
Raquel Welch;Roustabout|Chairman of the Board|Bedazzled
Jenny Wright;St. Elmo's Fire|The Lawnmower Man
Sigourney Weaver;Alien3|Aliens|Tadpole|Alien: Resurrection|Dave
Regina King;Friday|Down to Earth|Legally Blonde 2: Red, White & Blonde|Ray|Enemy of the State
Loretta Devine;The Preacher's Wife|Urban Legend
Jackie Chan;Around the World in 80 Days|Snake & Crane Arts of Shaolin|Armour of God II: Operation Condor|The Protector|Police Story|Snake in the Eagle's Shadow|Rush Hour|Who Am I?|An Alan Smithee Film: Burn Hollywood Burn|Mr. Nice Guy
Anthony Perkins;Lovin' Molly|Friendly Persuasion|Psycho
Jacqueline Obradors;Atlantis: The Lost Empire|Atlantis: Milo's Return
Neal McDonough;Timeline|Minority Report|Star Trek: First Contact
Joe Alaskey;Rugrats in Paris: The Movie|Looney Tunes: Back in Action
Louise Latham;The Philadelphia Experiment|Marnie|The Philadelphia Experiment
Carol Kane;My Blue Heaven|Carnal Knowledge|The Princess Bride
Dean Cain;The Broken Hearts Club: A Romantic Comedy|Rat Race
Charles B. Middleton;Flash Gordon|Flash Gordon's Trip to Mars
Kerry Washington;Fantastic Four|Ray
David Strathairn;Sneakers|The Firm|Speakeasy
Elizabeth Allan;A Tale of Two Cities|Personal History, Adventures, Experience, and Observation of David Copperfield the Younger
Geoffrey Rush;Shine|Pirates of the Caribbean: The Curse of the Black Pearl|Ned Kelly|House on Haunted Hill|Elizabeth|Elizabeth: The Golden Age
Joel Polis;John Carpenter's The Thing|John Carpenter's The Thing
Danielle Harris;Urban Legend|Daylight|Don't Tell Mom the Babysitter's Dead
Patricia Tallman;Babylon 5: The Gathering|Night of the Living Dead
Dee Wallace-Stone;E.T. the Extra-Terrestrial|10|The Hills Have Eyes
Missi Pyle;Dodgeball: A True Underdog Story|Charlie and the Chocolate Factory
Koichi Yamadera;Pokamon: Legend Comes to Life|Cowboy Bebop: The Movie
Don Messick;Jetsons: The Movie|Tom and Jerry: The Movie
Clare Kramer;The Rules of Attraction|Bring It On
Robert Prosky;Thief|Gremlins 2: The New Batch|The Keep|Broadcast News|Rudy
Myrna Loy;The Thin Man|Test Pilot|Vanity Fair
Charlotte Rampling;Swimming Pool|Immortel|Vanishing Point
Bruce Davison;Ulzana's Raid|The Crucible|X-Men|X2
Jennifer Lien;The Lion King II: Simba's Pride|SLC Punk!
Cedric the Entertainer;Man of the House|Barbershop|Madagascar|Dr. Dolittle 2|Barbershop 2: Back in Business
Angelina Jolie;Hackers|Original Sin|Gone in Sixty Seconds|Lara Croft: Tomb Raider|Foxfire|Taking Lives|Alexander|Lara Croft Tomb Raider: The Cradle of Life
Ethan Hawke;Alive|White Fang|Tape|Assault on Precinct 13|Taking Lives|Hamlet
William Schallert;Them!|Colossus: The Forbin Project
Kenji Sahara;Godzilla: Final Wars|Ghidorah, the Three-Headed Monster
John McEnery;Romeo and Juliet|Hamlet
Alok Nath;Khabi Khushi Kabhi Gham|Khabi Khushi Kabhi Gham|Gandhi
Natasha Henstridge;Species|Dog Park
Burt Reynolds;Delgo|The Dukes of Hazzard|Starting Over|Hooper|Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)|Striptease
Lupe Ontiveros;Selena|El Norte|My Family
Roscoe Lee Browne;Babe|Topaz
Diane Salinger;Pee-wee's Big Adventure|The Morning After
Alastair Sim;Blue Murder at St Trinian's|Scrooge|Stage Fright|The Belles of St Trinian's
Julian Glover;Harry Potter and the Chamber of Secrets|Troy|Quatermass and the Pit|Tom Jones
Garrett Hedlund;Troy|Eragon
Ron Livingston;Swingers|Adaptation
Darlene Cates;What's Eating Gilbert Grape|What's Eating Gilbert Grape
Jill Bennett;Moulin Rouge|Lady Jane|The Nanny
Richard Pryor;Silver Streak|Car Wash
Ralph Brown;Alien3|Buster|Impromptu|Exorcist: The Beginning
Simon Callow;Ace Ventura: When Nature Calls|Mr. & Mrs. Bridge|James and the Giant Peach|Street Fighter|The Phantom of the Opera
Jeroen Krabbe;King of the Hill|Immortal Beloved
Barry Newman;What the #$*! Do We Know!?|Daylight|Vanishing Point
Alanna Ubach;Legally Blonde 2: Red, White & Blonde|Sister Act 2: Back in the Habit
Kay Walsh;Oliver Twist|Scrooge
Gary Sinise;Apollo 13|Ransom|Of Mice and Men|The Big Bounce|Snake Eyes
Brad Renfro;American Girl|Apt Pupil|Ghost World|Bully
Dorothy Malone;The Fast and the Furious|Warlock
Cheryl Chase;Rugrats in Paris: The Movie|Rugrats Go Wild!
Henry Bergman;The Circus|The Kid|Modern Times
Heather McComb;Don's Plum|Beethoven's 2nd
Kevin Gage;Blow|Heat|The 'Burbs
Anne Revere;Gentleman's Agreement|Body and Soul
Michael Wincott;The Crow|Robin Hood: Prince of Thieves|Strange Days|The Count of Monte Cristo|Alien: Resurrection
Pam Ferris;Harry Potter and the Prisoner of Azkaban|Matilda
Edward Hardwicke;Elizabeth|Holocaust
Sally Kellerman;Boris and Natasha|Lost Horizon|MASH
Hunter Carson;Paris, Texas|Paris, Texas
Lance Henriksen;AVP: Alien vs. Predator|Alien3|Aliens|Super Mario Bros.|Jagged Edge
Jan-Michael Vincent;Hooper|Buffalo '66|Born in East L.A.
Jeff Gordon;Taxi|Looney Tunes: Back in Action|Herbie: Fully Loaded
Dirk Bogarde;Accident|Darling|Victim|The Damned
Alfred Abel;Metropolis|Metropolis
Eddie Foy, Jr.;Wilson|Bells Are Ringing
ZaSu Pitts;It's a Mad, Mad, Mad, Mad World|Greed|The Devil's Holiday
Eugene Pallette;The Adventures of Robin Hood|Chicago|The Three Musketeers
Daniel Radcliffe;Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Paige O'Hara;Beauty and the Beast: The Enchanted Christmas|Beauty and the Beast
Phil Harris;Robin Hood|The Jungle Book
Martin Balsam;Tora! Tora! Tora!|St. Elmo's Fire|The Taking of Pelham One Two Three|Breakfast at Tiffany's|Summer Wishes, Winter Dreams|Psycho
Van Heflin;Stagecoach|Possessed|Battle Cry|Airport|Patterns
Aamir Khan;Mangal Pandey: The Rising|Rangeela|Lagaan: Once Upon a Time in India
Gabrielle Union;She's All That|Breakin' All the Rules|Bring It On|The Brothers
Andy Dick;The Lion King II: Simba's Pride|Bongwater
Sally Struthers;BAADASSSSS!|Alice in Wonderland|The Getaway
Jeffrey Wright;Shaft|Hamlet|Ali|The Manchurian Candidate|Casino Royale
Michael Berryman;Weird Science|The Hills Have Eyes
Red Buttons;Alice in Wonderland|They Shoot Horses, Don't They?|Pete's Dragon|The Longest Day|Stagecoach|The Poseidon Adventure|One, Two, Three
George Brent;Jezebel|42nd Street
Lambert Wilson;Timeline|Sahara|Sahara|Catwoman
Peter Coyote;Sphere|Erin Brockovich|E.T. the Extra-Terrestrial|Cross Creek|Jagged Edge
Justin Theroux;The Broken Hearts Club: A Romantic Comedy|Mulholland Drive
Fay Bainter;Jezebel|Our Town
Stephen Rea;Guinevere|Michael Collins
Jack Carson;Mr. & Mrs. Smith|Arsenic and Old Lace
Don Murray;Bus Stop|Endless Love|Happy Birthday, Wanda June
Neil Innes;Jabberwocky|The Rutles
Peter Cullen;Piglet's Big Movie|The Transformers: The Movie|Robotix|Pooh's Heffalump Movie
Ricardo Montalban;Battleground|Star Trek II: The Wrath of Khan|Madame X
Ingrid Bergman;Joan of Arc|Casablanca|Dead Men Don't Wear Plaid|Anastasia|Spellbound|The Bells of St. Mary's
Michael Pataki;Airport '77|Remo Williams: The Adventure Begins
Tony Shalhoub;Men in Black|Cars|The Man Who Wasn't There
Jennifer Tilly;Bound|The Doors|The Haunted Mansion
Evan Adams;Smoke Signals|Smoke Signals
Leonard Nimoy;Vincent|Star Trek: The Motion Picture|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Atlantis: The Lost Empire|Star Trek III: The Search for Spock|Star Trek IV: The Voyage Home|The Transformers: The Movie|Star Trek V: The Final Frontier
Jason Schwartzman;Rushmore|I heart Huckabees
Tara Reid;Alone in the Dark|Urban Legend|National Lampoon's Van Wilder|Dr. T & the Women|Josie and the Pussycats
George Kennedy;Cats Don't Dance|Airport '77|The Naked Gun 2 1/2: The Smell of Fear|In Harm's Way|...tick...tick...tick...|Earthquake|Lost Horizon|Airport
Ice Cube;Friday|Are We There Yet|Barbershop|Anaconda|Three Kings|Barbershop 2: Back in Business
Joan Fontaine;Rebecca|Island in the Sun|Suspicion
Glynis Johns;Mary Poppins|Miranda
Virginia Madsen;The Rainmaker|Dune|Candyman|Godzilla|The Haunting|Class
Linda Harrison;Cocoon: The Return|Cocoon|Planet of the Apes|Planet of the Apes
Kevin McKidd;Kingdom of Heaven|Trainspotting|Max|Small Faces
Eddie Jones;Seabiscuit|Sneakers
Tilda Swinton;Constantine|Adaptation|Blue|Orlando|Caravaggio|Young Adam|Edward II
Robert Helpmann;The Tales of Hoffmann|The Red Shoes
Victor Wong;Prince of Darkness|Tremors
Jason Gedrick;Backdraft|Promised Land
Ja Rule;Assault on Precinct 13|Shall We Dance?
Bruce Bennett;Sahara|Strategic Air Command
Juliane Ki¶hler;Aimee & Jaguar|Downfall
Vanessa Redgrave;Julia|Wilde|Howards End|Mission: Impossible|Mary, Queen of Scots|Good Boy!|The House of the Spirits|The Devils|Morgan: A Suitable Case for Treatment|The Pledge|Deep Impact
DeForest Kelley;Star Trek III: The Search for Spock|Star Trek: The Motion Picture|Star Trek IV: The Voyage Home|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Star Trek V: The Final Frontier
William Shatner;Star Trek: The Motion Picture|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Star Trek: Generations|Incubus|Star Trek III: The Search for Spock|Star Trek IV: The Voyage Home|Star Trek V: The Final Frontier
Nicole Kidman;Panic Room|The Golden Compass|Cold Mountain|BMX Bandits|The Portrait of a Lady|Moulin Rouge!|Dead Calm|Flirting|Birth|The Stepford Wives|The Others
Monty Woolley;Young Dr. Kildare|The Pied Piper
Kelly Preston;For Love of the Game|Curdled|What a Girl Wants|Twins|Addicted to Love|Eulogy
Jane Adams;Happiness|Orange County|Lemony Snicket's A Series of Unfortunate Events|Mrs. Parker and the Vicious Circle
Jason Anthony Griffith;Pokamon: Lucario and the Mystery of Mew|Pokamon: Jirachi Wishmaker
Lucille Ball;Room Service|Yours, Mine and Ours
Alan Hale, Sr.;Robin Hood|The Adventures of Robin Hood
Ben Johnson;The Getaway|The Getaway
Jane Alexander;Testament|Square Dance
Jenny Lewis;Foxfire|Don's Plum|The Wizard
Matt Dillon;There's Something About Mary|Over the Edge|In & Out|Herbie: Fully Loaded|Singles
Robert Duvall;Gone in Sixty Seconds|Network|Captain Newman, M.D.|Hearts of Darkness: A Filmmakers's Apocalypse|Phenomenon|MASH|Deep Impact
Erland Josephson;Face to Face|Scenes from a Marriage
Clint Howard;That Thing You Do!|The Jungle Book|Rock 'n' Roll High School|Night Shift
Carl Reiner;Dead Men Don't Wear Plaid|The Russians Are Coming, the Russians Are Coming|Ocean's Twelve
Mel Gibson;Forever Young|Air America|Maverick|Pocahontas|The River|Ransom|Hamlet|Conspiracy Theory|The Patriot|Tequila Sunrise|The Singing Detective|Mad Max 2: The Road Warrior|Signs|Gallipoli
Travis Tedford;The Little Rascals|The Haunting
Cary Elwes;Kiss the Girls|Twister|Lady Jane|Bram Stoker's Dracula|Glory|Saw|Uprising|The Jungle Book|Hot Shots!|Robin Hood: Men in Tights|The Princess Bride
Harpo Marx;Room Service|A Night at the Opera|Saps at Sea|A Day at the Races|Animal Crackers|Monkey Business
Carla Gugino;Welcome Home, Roxy Carmichael|Sin City|The One|Snake Eyes
Lynn Redgrave;Shine|Morgan Stewart's Coming Home|Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)|Peter Pan|Spider|How to Kill Your Neighbor's Dog
Elisabeth Shue;The Saint|Cocktail|Hide and Seek
Anatoly Solonitsyn;Solaris|Andrei Rublev|Stalker
Casey Affleck;Committed|Hamlet|Gerry|Ocean's Twelve
Jameson Thomas;Piccadilly|The Farmer's Wife
Raymond Burr;M|Out of the Blue
George Harrison;The Rutles|A Hard Day's Night
Harry Andrews;Watership Down|I'll Never Forget What's 'Isname|Battle of Britain
James Dean;Giant|East of Eden
Morris Chestnut;Under Siege 2: Dark Territory|Breakin' All the Rules|Anacondas: The Hunt for the Blood Orchid|The Brothers
Rue McClanahan;The Dreamer of Oz: The L. Frank Baum Story|Starship Troopers
Melanie Mayron;My Blue Heaven|Missing
Blythe Danner;Mr. & Mrs. Bridge|Alice|The X Files|Lovin' Molly|To Wong Foo, Thanks for Everything! Julie Newmar|Sylvia
Erik von Detten;American Girl|The Princess Diaries
Howard Keel;Show Boat|Calamity Jane
Jada Pinkett Smith;Tales from the Crypt presents: Demon Knight|Collateral|Ali|Madagascar
Michael Horton;Star Trek: Insurrection|Star Trek: First Contact
Chelcie Ross;Major League|Above the Law|The Gift|Rudy
Sam Jaffe;Ben-Hur|Nothing Lasts Forever
Jonathan Tucker;Hostage|Sleepers
J. Pat O'Malley;Alice in Wonderland|The Jungle Book
Robert Oliveri;Honey, I Blew Up the Kid|Honey, I Blew Up the Kid
Rex Linn;Rush Hour|Cliffhanger
Shannon Elizabeth;Tomcats|Cursed
Valeria Golino;Immortal Beloved|Hot Shots! Part Deux|John Carpenter's Escape from L.A.|Hot Shots!
Armin Mueller-Stahl;Shine|Music Box|The X Files|Avalon
Alan Tudyk;Dodgeball: A True Underdog Story|A Knight's Tale|I, Robot|Serenity
George Sanders;Rebecca|The Jungle Book|Foreign Correspondent
Yoshiko Kuga;Hakuchi|Good Morning
Scott Wolf;Lady and the Tramp II: Scamp's Adventure|Go
Donald Pleasence;Dracula|Halloween|Prince of Darkness|The Great Escape II: The Untold Story|Jesus of Nazareth|The Last Tycoon|Cul-de-Sac
Nigel Patrick;The League of Gentlemen|Battle of Britain
Ryan O'Neal;An Alan Smithee Film: Burn Hollywood Burn|Paper Moon|Oliver's Story|The Games|What's Up, Doc?|Fever Pitch
Kimberly Elise;Beloved|The Manchurian Candidate
Gerard Depardieu;Uranus|From Time to Time|Hamlet|1900|Camille Claudel|Green Card
Claire Skinner;Sleepy Hollow|Life Is Sweet
Charlotte Rae;Tom and Jerry: The Movie|Hair
Dan Hedaya;Maverick|Dick|Mulholland Drive|Ransom|Alien: Resurrection|Daylight|Marvin's Room|Shaft|Nixon|Commando|Freeway|Robots|The Hurricane
Pepe Serna;Car Wash|Scarface
Ellen Albertini Dow;54|Longshot
Jurgen Prochnow;Dune|Wing Commander|The Keep|Air Force One
Kayzie Rogers;Pokamon: Legend Comes to Life|Pokamon: Destiny Deoxys|Pokamon: Jirachi Wishmaker
Sessue Hayakawa;Swiss Family Robinson|The Cheat
Victor Garber;Titanic|Exotica
Leonid Myasin;The Tales of Hoffmann|The Red Shoes
Constance Marie;My Family|Selena
Rebecca De Mornay;Identity|Runaway Train|Backdraft|By Dawn's Early Light|The Hand That Rocks the Cradle
Robert De Niro;The Mission|Ronin|New York, New York|The King of Comedy|Sleepers|The Score|Marvin's Room|Jackie Brown|The Last Tycoon|1900|Mary Shelley's Frankenstein|Casino|Cape Fear|Backdraft|Brazil|Heat|Hide and Seek
Ann-Margret;Magic|Tommy|Carnal Knowledge
Keith Carradine;Nashville|Pretty Baby|Mrs. Parker and the Vicious Circle
Adolfo Celi;Hitler: The Last Ten Days|Von Ryan's Express
Hart Bochner;Batman: Mask of the Phantasm|Mr. Destiny
Steven Bauer;Primal Fear|Traffic|Scarface|The Beast
Helen Hunt;Twister|Mr. Saturday Night|Project X|Pay It Forward|Dr. T & the Women
Elijah Wood;Forever Young|North|Sin City|The Lord of the Rings: The Fellowship of the Ring|Radio Flyer|The Lord of the Rings: The Return of the King|The Good Son|Oliver Twist|Avalon|The Lord of the Rings: The Two Towers|Flipper|Deep Impact|Black and White
Richard Dreyfuss;Oliver Twist|The American President|Always|James and the Giant Peach|Mr. Holland's Opus|Silver City|What About Bob?|Jaws
Richard Gere;King David|Primal Fear|Dr. T & the Women|The Cotton Club|Chicago|Shall We Dance?|Unfaithful
Nozomu Sasaki;Akira|Yu Yu Hakusho: Poltergeist Report
Carrot Top;The Rules of Attraction|Chairman of the Board
Debi Derryberry;Jimmy Neutron: Boy Genius|Laputa: Castle in the Sky|The Haunting
Kenneth McMillan;Cat's Eye|Dune|Ragtime|Armed and Dangerous
Amanda Plummer;Pulp Fiction|The Fisher King|Hercules|Freeway
Toby Stephens;Mangal Pandey: The Rising|Orlando
Casper Van Dien;Sleepy Hollow|Starship Troopers|Python
Stephen Furst;National Lampoon's Animal House|The Little Mermaid II: Return to the Sea
Seymour Cassel;Faces|White Fang|Rushmore
Reiley McClendon;The Kid|Pearl Harbor
Nathaniel Parker;The Haunted Mansion|Hamlet
Faye Dunaway;Chinatown|Network|Bonnie and Clyde|The Rules of Attraction|The Messenger: The Story of Joan of Arc
Dolores Fuller;Ed Wood|Glen or Glenda?
Robert Young;Crossfire|Northwest Passage|Three Comrades
Mercedes Gilbert;Body and Soul|Body and Soul
Matthew McConaughey;Contact|My Boyfriend's Back|Sahara|Amistad|Reign of Fire|Lone Star|Dazed and Confused|U-571
John Waters;Something Wild|Breaker Morant
Steven Berkoff;Outland|Children of Dune|Rambo: First Blood Part II
Gabriele Ferzetti;Hitler: The Last Ten Days|L'avventura
Megan Follows;Anne of Green Gables: The Continuing Story|Anne of Green Gables
Trey Parker;Team America: World Police|Cannibal! The Musical|South Park: Bigger, Longer & Uncut
Barry Nelson;The Shining|Airport
Dana Eskelson;Exiled: A Law & Order Movie|Singles
George Newbern;Final Fantasy VII: Advent Children|Father of the Bride
Dyan Cannon;Heaven Can Wait|Deathtrap|Bob & Carol & Ted & Alice
Eric Christian Olsen;Dumb & Dumberer|Cellular
Alec Newman;Dune|Children of Dune
